Name,Type,Ownership,State,City,Website,Accreditation Status,Email,Phone,Address,Source URL,License
"Abdulrasaq Abubakar Toyin University, Oke-Ogba, Ganmo, Ilorin, Kwara State",university,private,Kwara,University,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Abubakar Tafawa Balewa University, Bauchi",university,federal,Bauchi,Unknown,https://myschoolgist.com/ng/atbu-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Achievers University, Owo",university,private,Unknown,Owo,https://myschoolgist.com/ng/achievers-university-degree-programmes/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Adekunle Ajasin University, Akungba",university,state,Unknown,University,https://myschoolgist.com/ng/aaua-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Adeleke University, Ede",university,private,Unknown,Ede,https://myschoolgist.com/ng/list-of-available-courses-in-adeleke-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Adeyemi University of Education, Ondo",university,federal,Ondo,Unknown,https://www.aueo.com,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Admiralty University Ibusa, Delta State",university,federal,Delta,Delta State,https://myschoolgist.com/ng/adun-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Afe Babalola University, Ado-Ekiti – Ekiti State",university,private,Ekiti,Ado,https://myschoolgist.com/ng/list-of-available-courses-in-abuad/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
African Aviation and Aerospace University,university,federal,Unknown,Unknown,https://www.aaaau.com,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"African University of Economics, FCT, Abuja",university,private,FCT,Unknown,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
Ahmadu Bello University,university,federal,Kaduna,Zaria,https://abu.edu.ng,Accredited,info@abu.edu.ng,,,https://nuc.edu.ng,
"Ahmadu Bello University, Zaria",university,federal,Unknown,Zaria,https://myschoolgist.com/ng/abu-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Ahman Pategi University, Kwara State",university,private,Kwara,Kwara State,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Air Force Institute of Technology, Kaduna",university,federal,Kaduna,Unknown,https://myschoolgist.com/ng/afit-courses/,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
"Ajayi Crowther University, Ibadan",university,private,Unknown,Ibadan,https://myschoolgist.com/ng/ajayi-crowther-university-undergraduate-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Akwa Ibom State University of Technology, Uyo",university,state,Akwa Ibom,Uyo,https://myschoolgist.com/ng/aksu-courses/,accredited,,,,https://myschoolgist.com/ng/state-universities-in-nigeria/,CC-BY-NC-SA
"Al-Ansar University, Maiduguri, Borno",university,private,Borno,Maiduguri,https://www.aumb.com,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Al-Bayan University, Ankpa, Kogi State",university,private,Kogi,Ankpa,,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Aletheia University, Ago-Iwoye Ogun State",university,private,Ogun,Ago,https://www.auaos.com,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Al-Hikmah University, Ilorin",university,private,Unknown,Ilorin,https://myschoolgist.com/ng/list-of-available-courses-in-al-hikmah-university/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Al-Istiqama University, Sumaila, Kano State",university,private,Kano,Sumaila,https://myschoolgist.com/ng/ausu-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Al-Muhibbah Open University, Abuja",university,private,Abuja,Unknown,https://www.aoua.com,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Al-Qalam University, Katsina",university,private,Katsina,Unknown,https://myschoolgist.com/ng/auk-courses/,accredited,,,,https://myschoolgist.com/ng/private-universities-in-nigeria/,CC-BY-NC-SA
"Alvan Ikoku Federal University of Education, Owerri, Imo State",university,federal,Imo,Owerri,,accredited,,,,https://myschoolgist.com/ng/federal-universities-in-nigeria/,CC-BY-NC-SA
